,Interest,WebDev,CyberSec,AppDev,Analytics,ML_AI,Programming,GameDesign,HW_InstallRepair
33,5,No,Yes,No,No,No,No,No,No
53,5,No,Yes,No,No,Yes,No,No,Yes
60,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes
95,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
96,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No
115,5,Yes,Yes,No,No,No,No,Yes,No
116,5,No,No,Yes,No,No,Yes,Yes,Yes
161,5,No,Yes,Yes,No,Yes,Yes,Yes,No
176,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
179,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
180,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
192,5,Yes,No,No,Yes,Yes,No,No,No
198,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
